NASA Jet Propulsion Laboratory,Issued,NPO-47604-1,8649000,07/10/2032,2012
NASA Jet Propulsion Laboratory,Issued,NPO-47869-1,8649609,04/17/2032,2012
NASA Stennis Space Center,Issued,SSC-00247,8618933,05/03/2032,2012
NASA Goddard Space Flight Center,Issued,GSC-15206-2,8140452,09/13/2031,2011
NASA Goddard Space Flight Center,Issued,GSC-15206-3,8140453,09/13/2031,2011
NASA Goddard Space Flight Center,Issued,GSC-15206-4,8275725,09/13/2031,2011
NASA Goddard Space Flight Center,Issued,GSC-15206-5,8165976,09/13/2031,2011
NASA Goddard Space Flight Center,Issued,GSC-15206-6,8165977,09/13/2031,2011
NASA Goddard Space Flight Center,Issued,GSC-15964-1,8525110,09/28/2031,2011
NASA Goddard Space Flight Center,Issued,GSC-16024-1,8526733,06/01/2031,2011
NASA Langley Research Center,Issued,LAR-17237-1,8294989,04/25/2031,2011
NASA Langley Research Center,Issued,LAR-17245-1,8344281,04/26/2031,2011
NASA Langley Research Center,Issued,LAR-17335-1,8170234,03/02/2031,2011
NASA Langley Research Center,Issued,LAR-17384-1,8662412,10/27/2031,2011
NASA Langley Research Center,Issued,LAR-17390-1,8235309,04/02/2031,2011
NASA Langley Research Center,Issued,LAR-17405-1,8226767,05/11/2031,2011
NASA Langley Research Center,Application,LAR-17455-3,,10/28/2031,2011
NASA Langley Research Center,Issued,LAR-17493-1,8424200,05/16/2031,2011
NASA Langley Research Center,Issued,LAR-17514-1,8196858,02/15/2031,2011
NASA Langley Research Center,Issued,LAR-17553-1,8257491,07/06/2031,2011
NASA Langley Research Center,Issued,LAR-17579-1,8673649,01/04/2031,2011
NASA Langley Research Center,Issued,LAR-17651-1,8259104,03/09/2031,2011
NASA Langley Research Center,Issued,LAR-17681-1,8347479,04/30/2031,2011
NASA Langley Research Center,Application,LAR-17689-1,0,08/20/2031,2011
NASA Langley Research Center,Application,LAR-17696-1,0,03/16/2031,2011
NASA Langley Research Center,Issued,LAR-17705-1,8672107,11/28/2031,2011
NASA Langley Research Center,Issued,LAR-17724-1,8378659,01/22/2031,2011
NASA Langley Research Center,Issued,LAR-17735-1,8490463,10/22/2031,2011
NASA Langley Research Center,Issued,LAR-17743-1,8473663,10/07/2031,2011
NASA Langley Research Center,Application,LAR-17747-1-CON,,02/17/2031,2011
NASA Langley Research Center,Issued,LAR-17766-1,8452073,10/02/2031,2011
NASA Langley Research Center,Issued,LAR-17799-1,8655513,05/25/2031,2011
NASA Langley Research Center,Application,LAR-17813-1-CON,,08/05/2031,2011
NASA Langley Research Center,Issued,LAR-17831-1,8651429,08/22/2031,2011
NASA Langley Research Center,Issued,LAR-17836-1,8671763,02/18/2031,2011
NASA Langley Research Center,Issued,LAR-17888-1,8605262,12/28/2031,2011
NASA Langley Research Center,Issued,LAR-17894-1,8494687,12/11/2031,2011
NASA Langley Research Center,Issued,LAR-17919-1,8661653,07/27/2031,2011
NASA Langley Research Center,Application,LAR-17919-2,,07/27/2031,2011
NASA Langley Research Center,Application,LAR-17984-1,,12/15/2031,2011
NASA Langley Research Center,Issued,LAR-18016-1,8636407,11/23/2031,2011
NASA Langley Research Center,Application,LAR-18374-1,,06/23/2031,2011
NASA Glenn Research Center,Issued,LEW-18313-2,8410469,03/17/2031,2011
NASA Glenn Research Center,Issued,LEW-18373-1,8353209,02/04/2031,2011
NASA Glenn Research Center,Issued,LEW-18593-1,8653693,01/27/2031,2011
NASA Glenn Research Center,Issued,LEW-18636-1,8416007,05/02/2031,2011
NASA Glenn Research Center,Issued,LEW-18717-1,8476979,07/07/2031,2011
NASA Glenn Research Center,Application,LEW-18752-1,,11/28/2031,2011
NASA Glenn Research Center,Application,LEW-18797-1,,12/16/2031,2011
NASA Glenn Research Center,Application,LEW-18891-1 with LEW-18611-1 and LEW-18895-1,,12/23/2031,2011
NASA Marshall Space Flight Center,Issued,MFS-32228-1,8290435,08/17/2031,2011
NASA Marshall Space Flight Center,Issued,MFS-32558-1,8490470,12/04/2031,2011
NASA Marshall Space Flight Center,Issued,MFS-32614-1,464750,04/03/2031,2011
NASA Marshall Space Flight Center,Issued,MFS-32638-1,8291776,03/12/2031,2011
NASA Marshall Space Flight Center,Application,MFS-32642-1,0,04/05/2031,2011
NASA Marshall Space Flight Center,Issued,MFS-32667-1,8357884,04/22/2031,2011
NASA Marshall Space Flight Center,Issued,MFS-32737-1,8448498,06/06/2031,2011
NASA Marshall Space Flight Center,Issued,MFS-32777-1,8425751,05/31/2031,2011
NASA Marshall Space Flight Center,Issued,MFS-32797-1,8330961,08/24/2031,2011
NASA Marshall Space Flight Center,Issued,MFS-32817-1,8290006,10/25/2031,2011
NASA Marshall Space Flight Center,Issued,MFS-32826-1,8316884,03/23/2031,2011
NASA Marshall Space Flight Center,Issued,MFS-32830-1,8420582,02/15/2031,2011
NASA Marshall Space Flight Center,Issued,MFS-32840-1,8322685,04/02/2031,2011
NASA Marshall Space Flight Center,Issued,MFS-32859-1,8393520,11/07/2031,2011
NASA Marshall Space Flight Center,Issued,MFS-32859-1-DIV,8393523,09/22/2031,2011
NASA Johnson Space Center,Issued,MSC-23988-1,8343740,10/31/2031,2011
NASA Johnson Space Center,Issued,MSC-24238-1,8388613,11/17/2031,2011
NASA Johnson Space Center,Issued,MSC-24346-1,8466776,09/05/2031,2011
NASA Johnson Space Center,Issued,MSC-24444-1,8577120,04/22/2031,2011
